"speaker","text","neg","neu","pos","compound","firstmatch","starttime","lastmatch","endtime","simple","matched","ratio"
"GUTHRIE","All right Senator thank you. Let me go to Governor Inslee on this. What would you do on day one? Same question I just asked Cory Booker. I have yet to hear an answer from anyone on this stage.",0.0,0.935,0.065,0.3612,8142,2972.136,8164,2978.236,"all right senator thank you let me go to governor inslee on this what would you do on day one same question i just asked cory booker i have yet to hear an answer from anyone on this stage","you do on day one same question i just asked cory booker i have yet to hear an answer from anyone on this",0.7191780821917808
"INSLEE","There is no reason",0.423,0.577,0.0,-0.296,"","","","","there is no reason","",0.0
"GUTHRIE","What will you do with the families that will be here?",0.0,1.0,0.0,0.0,8166,2978.506,8176,2980.986,"what will you do with the families that will be here","what will you do with the families that will be here",1.0
"INSLEE","There is no reason for the detention and separation of these children. They should be released pending their hearings and they should have a hearing and the law should be followed. That's what should happen.",0.128,0.872,0.0,-0.5719,8177,2981.046,8211,2991.506,"there is no reason for the detention and separation of these children they should be released pending their hearings and they should have a hearing and the law should be followed that's what should happen","there is no reason for the detention and separation of these children they should be released pending their hearings and they should have a hearing in the law should be followed that's what should happen",0.9926289926289926
"INSLEE","And we should do what we're doing in Washington state. I'm proud that we've passed a law that prevents local law enforcement from being turned into mini-ICE agents.",0.0,0.85,0.15,0.5267,8212,2991.776,8240,3001.196,"and we should do what we're doing in washington state i'm proud that we've passed a law that prevents local law enforcement from being turned into mini-ice agents","and we should do what we're doing in washington state i'm proud that we've passed a law that prevents local law enforcement for being turned into many ice agents",0.9721362229102167
"INSLEE","I'm proud to have been the first governor to stand up against Donald Trump's heinous Muslim ban. I'm proud to be a person who's not only talked about Dreamers but being one of the first to make sure that they get a college education so that they can realize their dreams. These are some of the most inspirational people in our state.",0.032,0.752,0.216,0.9215,8241,3001.446,8301,3019.956,"i'm proud to have been the first governor to stand up against donald trump's heinous muslim ban i'm proud to be a person who's not only talked about dreamers but being one of the first to make sure that they get a college education so that they can realize their dreams these are some of the most inspirational people in our state","i'm proud have been the first governor to stand up against donald trump's heinous muslim ban i'm proud to be a person who's not only talked about dreamers but being one of the first to make sure that they get a college education so that they can realize their dreams these air some of the most inspirational people in our state",0.9923896499238964
"INSLEE","And I'll leave you with this thought if you want to know what I think. Donald Trump the other day tried to threaten me  he thought it was a threat  to tell me that he would send refugees into Washington state if we passed a law that I passed. And I told him that's not a threat at all. We welcome refugees into our state. We recognize diversity as a strength. This is how we've built America. That tradition is going to continue if I'm president of the United States.",0.111,0.782,0.107,-0.0772,8302,3020.246,8388,3045.696,"and i'll leave you with this thought if you want to know what i think donald trump the other day tried to threaten me he thought it was a threat to tell me that he would send refugees into washington state if we passed a law that i passed and i told him that's not a threat at all we welcome refugees into our state we recognize diversity as a strength this is how we've built america that tradition is going to continue if i'm president of the united states","and i'll leave you with this thought if you want to know what i think donald trump the other die other day tried to threaten me he thought it was a threat to tell me that he would send refugees in washington state if we passed the law that i passed and i told him that's not a threat at all we welcome refugees into our state we recognize diversity is a strength this is how we built america that tradition is going to continue from president",0.9466666666666667
"HOLT","We're going to switch to another topic now. We've got a lot to get to. Let's",0.0,1.0,0.0,0.0,8390,3048.426,8393,3050.786,"we're going to switch to another topic now we've got a lot to get to let's","another topic way let's",0.4536082474226804
"DELANEY","My grandfather was actually separated from his family when he came to this country.",0.0,1.0,0.0,0.0,8397,3052.066,8402,3053.986,"my grandfather was actually separated from his family when he came to this country","actually separated from his family when",0.6446280991735537
"HOLT","We're going to  we're going to talk about Iran right now because we're working against the clock. Tankers have been attacked. A U.S. drone has been shot down. There have been disturbing threats issued by both the U.S. and Iranian leadership.",0.197,0.803,0.0,-0.8442,8405,3054.366,8444,3065.281,"we're going to we're going to talk about iran right now because we're working against the clock tankers have been attacked a u s drone has been shot down there have been disturbing threats issued by both the u s and iranian leadership","we're gonna we're gonna talk about a runway because we're working against the clock tankers have been attacked a u s drone has been shot down there have been disturbing threats issued by both the u s and iranian leadership",0.9429824561403509
"HOLT","I'd like if you can just for a moment to put aside how you think we may have gotten here but what I want to know is how do you dial it back? So a show of hands. Who as president would sign on to the 2015 nuclear deal as it was originally negotiated? That's every  well Senator Booker why not?",0.0,0.896,0.104,0.6586,8445,3065.481,8502,3084.351,"i'd like if you can just for a moment to put aside how you think we may have gotten here but what i want to know is how do you dial it back so a show of hands who as president would sign on to the 2015 nuclear deal as it was originally negotiated that's every well senator booker why not","i'd like if you can't just for a moment to put aside how you think we may have gotten here but what i want to know is how to get dial it back so a show of hands who is president would sign on to the 2015 nuclear deal as it was originally negotiated senator booker why not",0.946236559139785
"BOOKER","May I address that? First and foremost it was a mistake to pull out of that deal. And one of the reasons why we're seeing this hostility now is because Donald Trump is marching us to a far more dangerous situation. Literally he took us out of a deal that gave us transparency into their nuclear program and pushed back a nuclear breakout 10 20 years. And now we see Iran threatening to go further and who are pulled  being pulled further and further into this crisis.",0.191,0.809,0.0,-0.9595,8503,3084.361,8590,3108.661,"may i address that first and foremost it was a mistake to pull out of that deal and one of the reasons why we're seeing this hostility now is because donald trump is marching us to a far more dangerous situation literally he took us out of a deal that gave us transparency into their nuclear program and pushed back a nuclear breakout 10 20 years and now we see iran threatening to go further and who are pulled being pulled further and further into this crisis","may i address that first and foremost it was a mistake to pull out of that deal in one of the reasons why we're seeing this hostility now is because donald trump is marching us to a farm or dangerous situation literally he took us out of the deal that gave us transparency into their nuclear program and pushed back a nuclear breakout 10 20 years and now we see iran threatening to go further and who were pulled being pulled in further and further into this crisis",0.9827213822894169
"BOOKER","We need to renegotiate and get back into a deal but I'm not going to have a primary platform to say unilaterally I'm going to rejoin that deal. Because when I'm president of the United States I'm going to do the best I can to secure this country and that region and make sure that if I have an opportunity to leverage a better deal I'm going to do it.",0.0,0.719,0.281,0.9753,8591,3108.891,8656,3125.671,"we need to renegotiate and get back into a deal but i'm not going to have a primary platform to say unilaterally i'm going to rejoin that deal because when i'm president of the united states i'm going to do the best i can to secure this country and that region and make sure that if i have an opportunity to leverage a better deal i'm going to do it","we need to re negotiate and get back into a deal but i'm not gonna have a primary platform to say unilaterally i'm gonna rejoin that deal because when i am president states i'm gonna do the best i can to secure this country and that region and make sure that if i have an opportunity to leverage a better deal i'm going to do it",0.9423929098966026
"HOLT","All right Senator Klobuchar I'd like to ask you to answer that question because you've said  you've said you would negotiate yourself back into the Iranian agreement. Can you argue that that nuclear pact as it was ratified was a good deal?",0.049,0.741,0.21,0.7783,8657,3125.791,8694,3136.421,"all right senator klobuchar i'd like to ask you to answer that question because you've said you've said you would negotiate yourself back into the iranian agreement can you argue that that nuclear pact as it was ratified was a good deal","all right senator clovis shot like it and because you said you said you would negotiate yourself back into the iranian agreement can you argue that that new nuclear pact as it was ratified was a good deal",0.8636363636363636
"KLOBUCHAR","It was imperfect but it was a good deal for that moment. I would have worked to get longer sunset periods and that's something we could negotiate to get back in the deal.",0.048,0.841,0.112,0.4939,8695,3137.431,8728,3148.221,"it was imperfect but it was a good deal for that moment i would have worked to get longer sunset periods and that's something we could negotiate to get back in the deal","it was in perfect but it was a good deal for that moment i would have worked to get longer sunset periods and that's something we could negotiate to get back in the deal",0.9910979228486647
"KLOBUCHAR","But the point is Donald Trump told us when he got out of it that he was going to give us a better deal. Those were his words. And now we are a month away from the Iranians who claim now that they're going blow the caps on enriching uranium. And the Iranians have told us this.",0.0,0.949,0.051,0.4404,8729,3148.261,8786,3164.481,"but the point is donald trump told us when he got out of it that he was going to give us a better deal those were his words and now we are a month away from the iranians who claim now that they're going blow the caps on enriching uranium and the iranians have told us this","but the point is donald trump told us when he got out of it that he was going to give us a better deal those were his words and now we are a month away from the iranians who claim now that they're going to blow the caps on enriching uranium and the iranians have told us this",0.9945155393053017
"KLOBUCHAR","And so that's where we are now. He has made us less safe than we were when he became president. So what I would do is negotiate us back into that agreement is stand with our allies and not give unlimited leverage to China and Russia which is what he has done.",0.0,0.894,0.106,0.701,8787,3164.621,8838,3179.437,"and so that's where we are now he has made us less safe than we were when he became president so what i would do is negotiate us back into that agreement is stand with our allies and not give unlimited leverage to china and russia which is what he has done","and so that's where we are right now he has made us less safe than we were when he became president so what i would do is negotiate us back into that agreement is stand with our allies and not give unlimited leverage china and russia which is what he has done",0.9825242718446602
"KLOBUCHAR","And then finally I would make sure that if there is any possibility of a conflict  and we're having this debate in Congress right now  that he comes to Congress for an authorization of military force. I would do that.",0.058,0.884,0.058,0.0,8839,3179.537,8878,3192.447,"and then finally i would make sure that if there is any possibility of a conflict and we're having this debate in congress right now that he comes to congress for an authorization of military force i would do that","and then finally i would make sure that if there is any possibility of a conflict and we're having this debate in congress right now that he comes to congress for unauthorized ation of military force i would do that",0.985981308411215
"KLOBUCHAR","And this president is literally every single day 10 minutes away from going to war one tweet away from going to war. And I don't think we should conduct",0.231,0.769,0.0,-0.8316,8880,3193.007,8907,3202.057,"and this president is literally every single day 10 minutes away from going to war one tweet away from going to war and i don't think we should conduct","this president is literally every single day 10 minutes away from going to war one tweet away from going to war and i don't think we should conduct",0.9865771812080537
"HOLT","All right your time is up.",0.0,1.0,0.0,0.0,"","","","","all right your time is up","",0.0
"KLOBUCHAR"," foreign policy in our bathrobe at 5:00 in the morning which is what he does.",0.0,1.0,0.0,0.0,8908,3202.067,8917,3205.357,"foreign policy in our bathrobe at 5:00 in the morning which is what he does","foreign policies in our bathrobe at five in the morning",0.7384615384615385
"HOLT","Congresswoman Gabbard Congresswoman Gabbard you've said you would sign back on to the 2015 deal. Would you  would you insist though that it address Iran's support for Hezbollah?",0.0,0.909,0.091,0.4019,8922,3211.077,8946,3218.657,"congresswoman gabbard congresswoman gabbard you've said you would sign back on to the 2015 deal would you would you insist though that it address iran's support for hezbollah","said you would you would sign back down to the 2015 deal would you would you insist though that it address iran's support for hezbollah",0.8284789644012945
"GABBARD","Let's deal with the situation where we are where this president and his chickenhawk cabinet have led us to the brink of war with Iran.",0.14,0.86,0.0,-0.5994,8948,3219.697,8973,3228.107,"let's deal with the situation where we are where this president and his chickenhawk cabinet have led us to the brink of war with iran","let's deal with the situation where we are where this president and his chicken hawk cabinet have led us to the brink of war with iran",0.9962546816479401
"GABBARD","I served in the war in Iraq at the height of the war in 2005 a war that took over 4000 of my brothers and sisters in uniforms' lives. The American people need to understand that this war with Iran would be far more devastating far more costly than anything that we ever saw in Iraq. It would take many more lives. It would exacerbate the refugee crisis.",0.306,0.694,0.0,-0.9798,8974,3228.647,9041,3251.837,"i served in the war in iraq at the height of the war in 2005 a war that took over 4000 of my brothers and sisters in uniforms' lives the american people need to understand that this war with iran would be far more devastating far more costly than anything that we ever saw in iraq it would take many more lives it would exacerbate the refugee crisis","i served in the war in iraq at the height of the war in 2005 a war that took over 4000 of my brothers and sisters in uniforms lives the american people need to understand that this war with iran would be far more devastating far more costly than anything that we ever saw in iraq it would take many more lives it would exacerbate the refugee crisis",0.9985652797704447
"GABBARD","And it wouldn't be just contained within Iran. This would turn into a regional war. This is why it's so important that every one of us every single American stand up and say no war with Iran. We need to get back into the Iran nuclear agreement and we need to negotiate how we can improve it.",0.146,0.73,0.124,-0.3682,9042,3252.057,9099,3271.587,"and it wouldn't be just contained within iran this would turn into a regional war this is why it's so important that every one of us every single american stand up and say no war with iran we need to get back into the iran nuclear agreement and we need to negotiate how we can improve it","and it wouldn't be just contained within iran this would turn into a regional wolf war this is why it's so important that every one of us every single american stand up and say no war with iran we need to get back into the iran nuclear agreement on we need to negotiate how we can improve it",0.986159169550173
"GABBARD","It was an imperfect deal. There are issues like their missile development that needs to be addressed. We can do both simultaneously to prevent Iran from developing a nuclear weapon and preventing us from going to war.",0.22,0.696,0.084,-0.7096,9100,3271.697,9136,3283.997,"it was an imperfect deal there are issues like their missile development that needs to be addressed we can do both simultaneously to prevent iran from developing a nuclear weapon and preventing us from going to war","it was an imperfectly eel their issues like their missile developed their missile development that needs to be addressed we can do both simultaneously to prevent iran from developing a nuclear weapon and preventing us from going",0.9049773755656109
"HOLT","Your time is up. And this is a very quick follow-up. But what would your red line be that would  for military action against Iran?",0.0,1.0,0.0,0.0,9146,3286.087,9157,3289.607,"your time is up and this is a very quick follow-up but what would your red line be that would for military action against iran","your red line b that would that for military action against iran",0.631578947368421
"GABBARD","Look obviously if there was an attack against the American  our troops then there would have to be a response. But my point is  and it's important for us to recognize this  is Donald Trump and his cabinet Mike Pompeo John Bolton and others  are creating a situation that just a spark would light off a war with Iran which is incredibly dangerous. That's why we need to de-escalate tensions. Trump needs to get back into the Iran nuclear deal and swallow his pride put the American people first.",0.133,0.783,0.084,-0.7778,9158,3290.847,9245,3318.832,"look obviously if there was an attack against the american our troops then there would have to be a response but my point is and it's important for us to recognize this is donald trump and his cabinet mike pompeo john bolton and others are creating a situation that just a spark would light off a war with iran which is incredibly dangerous that's why we need to de-escalate tensions trump needs to get back into the iran nuclear deal and swallow his pride put the american people first","look obviously if there was an attack against the american our troops then there would have to be a response but my point is it's important for us to recognize this is donald trump and his cabinet mike pompeo john bolton and others are creating a situation that just a spark would light off war with iran which is incredibly dangerous that's why we need to de escalate tensions trump needs to get back into the iran nuclear deal and swallow his pride put the american people first",0.9917184265010351
"DE BLASIO","Hey but wait a minute",0.0,1.0,0.0,0.0,"","","","","hey but wait a minute","",0.0
"GUTHRIE"," we will have much more  Mayor De Blasio we'll have more. The commercial is coming when we'll continue our questioning next with Chuck Todd Rachel Maddow. Stick around. We'll have a lot more with some very anxious candidates just ahead.",0.091,0.909,0.0,-0.4005,9248,3327.822,9270,3334.712,"we will have much more mayor de blasio we'll have more the commercial is coming when we'll continue our questioning next with chuck todd rachel maddow stick around we'll have a lot more with some very anxious candidates just ahead","we will continue our questioning next with chuck todd rachel maddow stick around we'll have a lot more with some very anxious candidates",0.7431693989071039
"HOLT","And welcome back everyone to the first Democratic presidential debate from the Arsht Center in Miami.",0.0,0.833,0.167,0.4588,9272,3599.534,9286,3604.284,"and welcome back everyone to the first democratic presidential debate from the arsht center in miami","welcome back one of the first democratic presidential debates in the arts center in miami",0.8888888888888888
"GUTHRIE","And as we continue the questioning time to get more members of our team in the mix.",0.08,0.92,0.0,-0.1027,9287,3604.294,9300,3607.384,"and as we continue the questioning time to get more members of our team in the mix","and if we continue the questioning time to get more members of our team",0.9019607843137255
"DIAZ-BALART","So right now let's turn it over to Chuck Todd and Rachel Maddow. Take it away.",0.0,1.0,0.0,0.0,9301,3607.794,9316,3611.574,"so right now let's turn it over to chuck todd and rachel maddow take it away","so right now let's turn it over to chuck todd and rachel maddow take it away",1.0
"MADDOW","All right. We're going to start by recapping the rules. Twenty candidates qualified for this first Democratic debate. We're going to hear from 10 tonight 10 more tomorrow. The breakdown for each night was selected at random. Now the candidates will have 60 seconds to answer 30 seconds for a follow-up if necessary and we will be ruthless if necessary.",0.0,1.0,0.0,0.0,9317,3613.344,9391,3638.984,"all right we're going to start by recapping the rules twenty candidates qualified for this first democratic debate we're going to hear from 10 tonight 10 more tomorrow the breakdown for each night was selected at random now the candidates will have 60 seconds to answer 30 seconds for a follow-up if necessary and we will be ruthless if necessary","wait 20 candidates qualified for this first democratic debate we're gonna hear from 10 tonight 10 more tomorrow the breakdown for each night was selected at random now the candidates will have 60 seconds to answer 30 seconds for a follow up if necessary and we will be ruthless if necessary i could do rachel how you doing good and we got a lot of ground to cover we're gonna be talking about guns and",0.7630522088353414
"TODD","We can do that.",0.0,1.0,0.0,0.0,"","","","","we can do that","",0.0
"TODD","By the way hi Rachel.",0.0,1.0,0.0,0.0,"","","","","by the way hi rachel","",0.0
"MADDOW","Hi Chuck.",0.0,1.0,0.0,0.0,"","","","","hi chuck","",0.0
"TODD","How are you doing?",0.0,1.0,0.0,0.0,"","","","","how are you doing","",0.0
"MADDOW","Good.",0.0,0.0,1.0,0.4404,"","","","","good","",0.0
"TODD","And we've got a lot of ground to cover. We're going to be talking about guns and climate here up top. A whole lot more in this hour. Obviously because of the size of the field not every person will be able to weigh in on everything but over the course of this next hour we will hear from everyone I promise everybody.",0.0,0.93,0.07,0.5187,9396,3640.504,9449,3656.274,"and we've got a lot of ground to cover we're going to be talking about guns and climate here up top a whole lot more in this hour obviously because of the size of the field not every person will be able to weigh in on everything but over the course of this next hour we will hear from everyone i promise everybody","a whole lot maurine this hour obviously because of the size of the field not every person will be able to weigh in on everything but over the course of this next hour we will hear from everyone i promise everybody and to begin with we're gonna go with guns and senator warren i",0.7152542372881356
"TODD","And to begin with we're going to go with guns and Senator Warren I want to start with you. We are less than 50 miles from Parkland Florida where 17 people were killed in a school shooting last year and where there has been significant activism on gun violence ever since. Many of you are calling for a restoration of an assault weapons ban but even if implemented there will still be hundreds of millions of guns in this country. Should there be a role for the federal government?",0.146,0.826,0.027,-0.8779,9451,3656.394,9523,3679.394,"and to begin with we're going to go with guns and senator warren i want to start with you we are less than 50 miles from parkland florida where 17 people were killed in a school shooting last year and where there has been significant activism on gun violence ever since many of you are calling for a restoration of an assault weapons ban but even if implemented there will still be hundreds of millions of guns in this country should there be a role for the federal government","to start with you were less than 50 miles from parkland florida where 17 people were killed in a school shooting last year and where there has been significant activism on gun violence ever since many of you are calling for a restoration of an assault weapons ban but even if implemented there will still be hundreds of millions of guns in this country should there be a role for the federal government",0.9157175398633257
"TODD","Everybody's mikes are on. I think we have a  I heard that too. That's OK. I think we had a little mike issue in the back.",0.0,0.872,0.128,0.4466,9524,3680.104,9548,3686.934,"everybody's mikes are on i think we have a i heard that too that's ok i think we had a little mike issue in the back","everybody's mikes around i think we have a i heard that too that's okay i think we had a little mike issue in the back",0.9743589743589743
"MADDOW","Control room we've got",0.0,1.0,0.0,0.0,9549,3687.244,9552,3688.224,"control room we've got","control room we've got",1.0
"TODD","We had the  I think we heard  yeah we have the audience audio. All right.",0.0,0.855,0.145,0.296,9553,3688.234,9560,3693.854,"we had the i think we heard yeah we have the audience audio all right","way of the audience all right so the",0.5142857142857142
"TODD","So the question is simply this. We're from  I apologize you guys didn't get to hear this the first part of the question. Obviously we're not far from Parkland Florida. Gun activism has become a big part of high school life up there in Broward County.",0.052,0.917,0.031,-0.25,9561,3693.854,9605,3707.524,"so the question is simply this we're from i apologize you guys didn't get to hear this the first part of the question obviously we're not far from parkland florida gun activism has become a big part of high school life up there in broward county","question is simply this top word from i apologize you guys didn't get to hear this the first part of the question obviously we're not far from parkland florida gun activism has become a big part of high school life up there in broward county",0.9670781893004116
"TODD","Many of you are calling for tighter gun restrictions. Some of you are calling for the restoration of the assault weapons ban. But even if it's put in place there are still going to be perhaps hundreds of millions of guns still on the streets. Is there a role for the federal government in order to  to play in order to get these guns off the streets?",0.167,0.802,0.032,-0.8834,9606,3708.074,9668,3725.764,"many of you are calling for tighter gun restrictions some of you are calling for the restoration of the assault weapons ban but even if it's put in place there are still going to be perhaps hundreds of millions of guns still on the streets is there a role for the federal government in order to to play in order to get these guns off the streets","many of you were calling for tighter gun restriction some of you calling for the restoration of the assault weapons ban but even if it's put in place they're still gonna be perhaps hundreds of millions of guns still on the streets is there a role for the federal government in order to play in order to get these guns off the streets",0.9646017699115044
"MADDOW","What's happening?",0.0,1.0,0.0,0.0,9669,3731.184,9670,3731.904,"what's happening","what's happening",1.0
"TODD","We are hearing our colleague's audio. If the control room could turn off the mikes",0.0,1.0,0.0,0.0,9671,3731.914,9690,3741.064,"we are hearing our colleague's audio if the control room could turn off the mikes","we're hearing our colleague's audio it's a control room turn off mike's if the control room could turn off the",0.7643979057591623
"TODD","Yeah if the control room could turn off the mikes of our previous moderators we will",0.0,0.872,0.128,0.296,9692,3741.374,9695,3742.654,"yeah if the control room could turn off the mikes of our previous moderators we will","of our previous moderators",0.4727272727272727
"MADDOW","You know we've prepared for everything.",0.0,0.725,0.275,0.2263,9697,3747.904,9697,3748.484,"you know we've prepared for everything","everything",0.4166666666666667
"TODD","Guess what guys? We are going to take a quick break. We're going to get this technical situation fixed. We will be right back.",0.0,1.0,0.0,0.0,9698,3748.614,9718,4010.938,"guess what guys we are going to take a quick break we're going to get this technical situation fixed we will be right back","guess what way we're gonna take a quick break we're gonna get this technical situation fixed we'll be right back we",0.8776371308016878
"TODD","We believe we have the technical difficulties fixed.",0.239,0.761,0.0,-0.296,9720,4011.388,9724,4013.498,"we believe we have the technical difficulties fixed","we have the technical difficulties",0.8
"MADDOW","Never say that.",0.0,1.0,0.0,0.0,9726,4013.628,9728,4014.428,"never say that","never say that",1.0
"TODD","Never say never. But we will march forward here and I will lean forward here a little bit.",0.0,1.0,0.0,0.0,9729,4014.438,9748,4019.498,"never say never but we will march forward here and i will lean forward here a little bit","never say never but we will we will march forward here and i will lean forward here a little bit",0.9565217391304348
"TODD","Senator Warren we're going to get to the gun question here. In Parkland Florida it's just north of here in Broward County. As you know it has created a lot of teenage activism on the gun issue. It has inspired a lot of you to come out with more robust plans to deal with guns including assault weapons ban but even if you're able to implement that what do you do about the hundreds of millions of guns already out there? And does the federal government have to play a role in dealing with it?",0.102,0.814,0.084,-0.2176,9749,4019.698,9841,4048.294,"senator warren we're going to get to the gun question here in parkland florida it's just north of here in broward county as you know it has created a lot of teenage activism on the gun issue it has inspired a lot of you to come out with more robust plans to deal with guns including assault weapons ban but even if you're able to implement that what do you do about the hundreds of millions of guns already out there and does the federal government have to play a role in dealing with it","senator warn we're gonna get to the been question here parkland florida it's just north of here in broward county as you know it is created a lot of teenage activism on the gun issue it is inspired a lot of you to come out with more robust plans to deal with guns including assault weapons ban but even if you're able to implement that what do you do about the hundreds of millions of guns already out there and as the federal government have to play a role in dealing with it",0.9719626168224299
"WARREN","So in this period of time that I have been running for president I've had more than 100 town halls. I've taken more than 2000 unfiltered questions. And the single hardest questions I've gotten I got one from a little boy and I got one from a little girl and that is to say when you're president how are you going to keep us safe?",0.0,0.953,0.047,0.4404,9842,4049.684,9904,4071.234,"so in this period of time that i have been running for president i've had more than 100 town halls i've taken more than 2000 unfiltered questions and the single hardest questions i've gotten i got one from a little boy and i got one from a little girl and that is to say when you're president how are you going to keep us safe","so in this period of time that i've been running for president i've had more than 100 town halls i've taken more than 2000 unfiltered questions and the single hardest question i've gotten i got one from a little boy and i got one from a little girl and that is safe when you're president how are you going to keep us safe",0.9829984544049459
"WARREN","That's our responsibility as adults. Seven children will die today from gun violence children and teenagers. And they won't just die in mass shootings. They'll die on sidewalks they'll die in playgrounds they'll die in people's backyards.",0.464,0.536,0.0,-0.9799,9905,4072.784,9941,4088.544,"that's our responsibility as adults seven children will die today from gun violence children and teenagers and they won't just die in mass shootings they'll die on sidewalks they'll die in playgrounds they'll die in people's backyards","that's our responsibility as adults seven children will die today from gun violence children and teenagers and they won't just die in mass shootings they'll die on sidewalks they'll die in playgrounds they'll die in people's backyards",1.0
"WARREN","Gun violence is a national health emergency in this country. And we need to treat it like that.",0.346,0.456,0.198,-0.5994,9942,4088.944,9960,4100.494,"gun violence is a national health emergency in this country and we need to treat it like that","gun violence is a national health emergency in this country and waken do the things that are sensible we",0.8121827411167513
"WARREN","So what can we do? We can do the things that are sensible. We can do the universal background checks. We can ban the weapons of war. But we can also double down on the research and find out what really works where it is that we can make the differences at the margins that will keep our children safe. We need to treat this like the virus that's killing our children.",0.168,0.736,0.096,-0.8087,9975,4104.904,10059,4127.714,"so what can we do we can do the things that are sensible we can do the universal background checks we can ban the weapons of war but we can also double down on the research and find out what really works where it is that we can make the differences at the margins that will keep our children safe we need to treat this like the virus that's killing our children","can also double down on the research and find out what really works where it is that we can make the difference is at the margins that will keep our children safe we need to treat this like the virus for killing our children you didn't address you do you think the federal government needs to go and figure out a way to get the guns that are already out there what i think we need to do is we need to treat it like",0.5651612903225807
"TODD","OK thank you Senator Warren. You didn't address  do you think the federal government needs to go and figure out a way to get the guns that are already out there?",0.0,0.837,0.163,0.6633,10069,4131.384,10076,4133.454,"ok thank you senator warren you didn't address do you think the federal government needs to go and figure out a way to get the guns that are already out there","you know guns in the hands of a",0.2962962962962963
"WARREN","What I think we need to do is we need to treat it like a serious research problem which we have not done. You know guns in the hands of a collector who's had them for decades who's never fired them who takes safety seriously that's very different from guns that are sold and turned over quickly.",0.09,0.739,0.172,0.7371,10094,4142.344,10099,4144.819,"what i think we need to do is we need to treat it like a serious research problem which we have not done you know guns in the hands of a collector who's had them for decades who's never fired them who takes safety seriously that's very different from guns that are sold and turned over quickly","guns sold and turned over quickly",0.20245398773006135
"WARREN","We can't treat this as an across-the-board problem. We have to treat it like a public health emergency. That means bring data to bear and it means make real change in this country whether it's politically popular or not.",0.208,0.679,0.112,-0.5448,10100,4144.869,10139,4159.369,"we can't treat this as an across-the-board problem we have to treat it like a public health emergency that means bring data to bear and it means make real change in this country whether it's politically popular or not","we can't treat this isn't across the board problem we have to treat it like a public health emergency that means bring data to bear and it means making real change in this country whether it's politically popular or not",0.9678899082568807
"TODD","Thank you Senator. Senator Booker you have a program",0.0,0.737,0.263,0.3612,10142,4159.929,10154,4166.929,"thank you senator senator booker you have a program","you have a program senator booker you have a federal government buyback program",0.6461538461538462
"WARREN","We need to fight for our children.",0.302,0.698,0.0,-0.3818,"","","","","we need to fight for our children","",0.0
"TODD","Senator Booker you have a federal government buyback program in your plan. How is that going to work?",0.0,1.0,0.0,0.0,10155,4167.399,10169,4172.709,"senator booker you have a federal government buyback program in your plan how is that going to work","in your plan how is that gonna work well first of all i want to",0.41975308641975306
"BOOKER","Well first of all I want to say my colleague and I both have been hearing this on the campaign trail. But what's even worse is I hear gunshots in my neighborhood. I think I'm the only one  I hope I'm the only one on this panel here that had seven people shot in their neighborhood just last week. Someone I knew Shahad Smith was killed with an assault rifle at the top of my block last year.",0.166,0.741,0.094,-0.8481,10174,4173.729,10241,4192.089,"well first of all i want to say my colleague and i both have been hearing this on the campaign trail but what's even worse is i hear gunshots in my neighborhood i think i'm the only one i hope i'm the only one on this panel here that had seven people shot in their neighborhood just last week someone i knew shahad smith was killed with an assault rifle at the top of my block last year","i both have been hearing this on the campaign trail but what's even worse is i hear gunshots in my neighborhood i think i'm the only one i hope i'm the only one on this panel here that had seven people shot in their neighborhood just last week someone i knew she's hot smith was killed with an assault rifle at the top of my block last year",0.9201101928374655
"BOOKER","For millions of Americans this is not a policy issue. This is an urgency. And for those that have not been directly affected they're tired of living in country where their kids go to school to learn about reading writing and arithmetic and how to deal with an active shooter in their school.",0.052,0.874,0.074,0.0629,10242,4192.679,10294,4207.289,"for millions of americans this is not a policy issue this is an urgency and for those that have not been directly affected they're tired of living in country where their kids go to school to learn about reading writing and arithmetic and how to deal with an active shooter in their school","for millions of americans this is not a policy issue this is an urgency and for those have not been directly affected they're tired of living in a country where their kids go to school to learn about reading writing and arithmetic and how to deal with an active shooter in their school",0.987783595113438
"BOOKER","This is something that I'm tired of. And I'm tired of hearing people all they have to offer is thoughts and prayers.",0.225,0.775,0.0,-0.7003,10295,4208.179,10314,4214.269,"this is something that i'm tired of and i'm tired of hearing people all they have to offer is thoughts and prayers","this is something that i'm tired of and i'm tired of hearing people all they have offers thoughts and prayers",0.9775784753363229
"BOOKER","In my faith people say faith without works is dead. So we will find a way. But the reason we have a problem right now is we've let the corporate gun lobby frame this debate. It is time that we have bold actions and a bold agenda. I will get that done as president of the United States because this is not about policy. This is personal.",0.066,0.699,0.235,0.901,10315,4214.549,10379,4234.439,"in my faith people say faith without works is dead so we will find a way but the reason we have a problem right now is we've let the corporate gun lobby frame this debate it is time that we have bold actions and a bold agenda i will get that done as president of the united states because this is not about policy this is personal","in my faith people say faith without works is dead so we will find a way but the reason we have a problem right now is we've let the corporate gun lobby frame this debate it is time that we have bold actions in a bold agenda i will get that done as president united states because this is not about policy this is personal",0.9846625766871165
"TODD","Thank you Senator Booker.",0.0,0.545,0.455,0.3612,10380,4234.629,10382,4235.149,"thank you senator booker","thank you senator",0.8292682926829268
